Source Name	Characteristics [Organism]	Term Source REF	Term Accession Number	Characteristics [TargetedCellType]	Characteristics [CellLine]	Term Source REF	Term Accession Number	Protocol REF	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Factor Value [TIME]	Unit [TimeUnit]	Factor Value [DOSE]	Unit [ConcentrationUnit]	Factor Value [COMPOUND]	Term Source REF	Term Accession Number	Factor Value [CELL_LINE]	Term Source REF	Term Accession Number	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Derived Array Data Matrix File	Comment [Derived ArrayExpress FTP file]
HepaRG_48h_TCDD_3	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	hepatoma cells	HepaRG	EFO	EFO_0001186	P-MTAB-6654	P-MTAB-6651	HepaRG_48h_TCDD_3	genomic_DNA	P-AFFY-2	HepaRG_48h_TCDD_3	biotin	unknown	Affymetrix:Protocol:Hybridization-Unknown	HepaRG_48h_TCDD_3	A-AFFY-44	P-AFFY-6	48	h	10	nM	TCDD	  	  	HepaRG	EFO	EFO_0001186	080424HK23.CEL	080424HK23.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2458/E-MEXP-2458.raw.1.zip	P-MTAB-6652	HepG2-HepaRG-all-reannotated-RMA-intensities.txt.magetab	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2458/E-MEXP-2458.processed.1.zip
HepG2_12h_E2_1	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	hepatoma cells	HepG2	EFO	EFO_0001187	P-MTAB-6653	P-MTAB-6651	HepG2_12h_E2_1	genomic_DNA	P-AFFY-2	HepG2_12h_E2_1	biotin	unknown	Affymetrix:Protocol:Hybridization-Unknown	HepG2_12h_E2_1	A-AFFY-44	P-AFFY-6	12	h	30	uM	E2	  	  	HepG2	EFO	EFO_0001187	16012008CM5G.CEL	16012008CM5G.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2458/E-MEXP-2458.raw.1.zip	P-MTAB-6652	HepG2-HepaRG-all-reannotated-RMA-intensities.txt.magetab	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2458/E-MEXP-2458.processed.1.zip
HepaRG_48h_BaP_2	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	hepatoma cells	HepaRG	EFO	EFO_0001186	P-MTAB-6654	P-MTAB-6651	HepaRG_48h_BaP_2	genomic_DNA	P-AFFY-2	HepaRG_48h_BaP_2	biotin	unknown	Affymetrix:Protocol:Hybridization-Unknown	HepaRG_48h_BaP_2	A-AFFY-44	P-AFFY-6	48	h	10	uM	BaP	  	  	HepaRG	EFO	EFO_0001186	080424HK7.CEL	080424HK7.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2458/E-MEXP-2458.raw.1.zip	P-MTAB-6652	HepG2-HepaRG-all-reannotated-RMA-intensities.txt.magetab	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2458/E-MEXP-2458.processed.1.zip
HepaRG_48h_DMSO_1	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	hepatoma cells	HepaRG	EFO	EFO_0001186	P-MTAB-6654	P-MTAB-6651	HepaRG_48h_DMSO_1	genomic_DNA	P-AFFY-2	HepaRG_48h_DMSO_1	biotin	unknown	Affymetrix:Protocol:Hybridization-Unknown	HepaRG_48h_DMSO_1	A-AFFY-44	P-AFFY-6	48	h	0.5	percent	dimethyl sulfoxide	EFO	http://www.ebi.ac.uk/chebi/searchId.do;?chebiId=CHEBI:28262	HepaRG	EFO	EFO_0001186	17012008HK48h6.CEL	17012008HK48h6.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2458/E-MEXP-2458.raw.1.zip	P-MTAB-6652	HepG2-HepaRG-all-reannotated-RMA-intensities.txt.magetab	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2458/E-MEXP-2458.processed.1.zip
HepG2_12h_CsA_1	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	hepatoma cells	HepG2	EFO	EFO_0001187	P-MTAB-6653	P-MTAB-6651	HepG2_12h_CsA_1	genomic_DNA	P-AFFY-2	HepG2_12h_CsA_1	biotin	unknown	Affymetrix:Protocol:Hybridization-Unknown	HepG2_12h_CsA_1	A-AFFY-44	P-AFFY-6	12	h	3	uM	CsA	  	  	HepG2	EFO	EFO_0001187	16012008CM3G.CEL	16012008CM3G.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2458/E-MEXP-2458.raw.1.zip	P-MTAB-6652	HepG2-HepaRG-all-reannotated-RMA-intensities.txt.magetab	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2458/E-MEXP-2458.processed.1.zip
HepG2_12h_AFB1_1	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	hepatoma cells	HepG2	EFO	EFO_0001187	P-MTAB-6653	P-MTAB-6651	HepG2_12h_AFB1_1	genomic_DNA	P-AFFY-2	HepG2_12h_AFB1_1	biotin	unknown	Affymetrix:Protocol:Hybridization-Unknown	HepG2_12h_AFB1_1	A-AFFY-44	P-AFFY-6	12	h	1	uM	AFB1	  	  	HepG2	EFO	EFO_0001187	16012008CM2G.CEL	16012008CM2G.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2458/E-MEXP-2458.raw.1.zip	P-MTAB-6652	HepG2-HepaRG-all-reannotated-RMA-intensities.txt.magetab	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2458/E-MEXP-2458.processed.1.zip
HepG2_48h_E2_1	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	hepatoma cells	HepG2	EFO	EFO_0001187	P-MTAB-6653	P-MTAB-6651	HepG2_48h_E2_1	genomic_DNA	P-AFFY-2	HepG2_48h_E2_1	biotin	unknown	Affymetrix:Protocol:Hybridization-Unknown	HepG2_48h_E2_1	A-AFFY-44	P-AFFY-6	48	h	30	uM	E2	  	  	HepG2	EFO	EFO_0001187	17012008CM5D.CEL	17012008CM5D.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2458/E-MEXP-2458.raw.1.zip	P-MTAB-6652	HepG2-HepaRG-all-reannotated-RMA-intensities.txt.magetab	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2458/E-MEXP-2458.processed.1.zip
HepaRG_48h_TCDD_1	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	hepatoma cells	HepaRG	EFO	EFO_0001186	P-MTAB-6654	P-MTAB-6651	HepaRG_48h_TCDD_1	genomic_DNA	P-AFFY-2	HepaRG_48h_TCDD_1	biotin	unknown	Affymetrix:Protocol:Hybridization-Unknown	HepaRG_48h_TCDD_1	A-AFFY-44	P-AFFY-6	48	h	10	nM	TCDD	  	  	HepaRG	EFO	EFO_0001186	17012008HK48h5.CEL	17012008HK48h5.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2458/E-MEXP-2458.raw.1.zip	P-MTAB-6652	HepG2-HepaRG-all-reannotated-RMA-intensities.txt.magetab	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2458/E-MEXP-2458.processed.1.zip
HepG2_48h_E2_3	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	hepatoma cells	HepG2	EFO	EFO_0001187	P-MTAB-6653	P-MTAB-6651	HepG2_48h_E2_3	genomic_DNA	P-AFFY-2	HepG2_48h_E2_3	biotin	unknown	Affymetrix:Protocol:Hybridization-Unknown	HepG2_48h_E2_3	A-AFFY-44	P-AFFY-6	48	h	30	uM	E2	  	  	HepG2	EFO	EFO_0001187	071010CM5F.CEL	071010CM5F.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2458/E-MEXP-2458.raw.1.zip	P-MTAB-6652	HepG2-HepaRG-all-reannotated-RMA-intensities.txt.magetab	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2458/E-MEXP-2458.processed.1.zip
HepaRG_48h_DMSO_2	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	hepatoma cells	HepaRG	EFO	EFO_0001186	P-MTAB-6654	P-MTAB-6651	HepaRG_48h_DMSO_2	genomic_DNA	P-AFFY-2	HepaRG_48h_DMSO_2	biotin	unknown	Affymetrix:Protocol:Hybridization-Unknown	HepaRG_48h_DMSO_2	A-AFFY-44	P-AFFY-6	48	h	0.5	percent	dimethyl sulfoxide	EFO	http://www.ebi.ac.uk/chebi/searchId.do;?chebiId=CHEBI:28262	HepaRG	EFO	EFO_0001186	080424HK12.CEL	080424HK12.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2458/E-MEXP-2458.raw.1.zip	P-MTAB-6652	HepG2-HepaRG-all-reannotated-RMA-intensities.txt.magetab	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2458/E-MEXP-2458.processed.1.zip
HepG2_48h_TCDD_3	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	hepatoma cells	HepG2	EFO	EFO_0001187	P-MTAB-6653	P-MTAB-6651	HepG2_48h_TCDD_3	genomic_DNA	P-AFFY-2	HepG2_48h_TCDD_3	biotin	unknown	Affymetrix:Protocol:Hybridization-Unknown	HepG2_48h_TCDD_3	A-AFFY-44	P-AFFY-6	48	h	10	nM	TCDD	  	  	HepG2	EFO	EFO_0001187	071010CM4F.CEL	071010CM4F.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2458/E-MEXP-2458.raw.1.zip	P-MTAB-6652	HepG2-HepaRG-all-reannotated-RMA-intensities.txt.magetab	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2458/E-MEXP-2458.processed.1.zip
HepG2_12h_BaP_1	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	hepatoma cells	HepG2	EFO	EFO_0001187	P-MTAB-6653	P-MTAB-6651	HepG2_12h_BaP_1	genomic_DNA	P-AFFY-2	HepG2_12h_BaP_1	biotin	unknown	Affymetrix:Protocol:Hybridization-Unknown	HepG2_12h_BaP_1	A-AFFY-44	P-AFFY-6	12	h	2	uM	BaP	  	  	HepG2	EFO	EFO_0001187	16012008CM1G.CEL	16012008CM1G.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2458/E-MEXP-2458.raw.1.zip	P-MTAB-6652	HepG2-HepaRG-all-reannotated-RMA-intensities.txt.magetab	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2458/E-MEXP-2458.processed.1.zip
HepG2_48h_DMSO_1	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	hepatoma cells	HepG2	EFO	EFO_0001187	P-MTAB-6653	P-MTAB-6651	HepG2_48h_DMSO_1	genomic_DNA	P-AFFY-2	HepG2_48h_DMSO_1	biotin	unknown	Affymetrix:Protocol:Hybridization-Unknown	HepG2_48h_DMSO_1	A-AFFY-44	P-AFFY-6	48	h	0.5	percent	dimethyl sulfoxide	EFO	http://www.ebi.ac.uk/chebi/searchId.do;?chebiId=CHEBI:28262	HepG2	EFO	EFO_0001187	071010CM6D.CEL	071010CM6D.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2458/E-MEXP-2458.raw.1.zip	P-MTAB-6652	HepG2-HepaRG-all-reannotated-RMA-intensities.txt.magetab	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2458/E-MEXP-2458.processed.1.zip
HepG2_12h_E2_2	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	hepatoma cells	HepG2	EFO	EFO_0001187	P-MTAB-6653	P-MTAB-6651	HepG2_12h_E2_2	genomic_DNA	P-AFFY-2	HepG2_12h_E2_2	biotin	unknown	Affymetrix:Protocol:Hybridization-Unknown	HepG2_12h_E2_2	A-AFFY-44	P-AFFY-6	12	h	30	uM	E2	  	  	HepG2	EFO	EFO_0001187	16012008CM5H.CEL	16012008CM5H.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2458/E-MEXP-2458.raw.1.zip	P-MTAB-6652	HepG2-HepaRG-all-reannotated-RMA-intensities.txt.magetab	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2458/E-MEXP-2458.processed.1.zip
HepG2_48h_AFB1_2	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	hepatoma cells	HepG2	EFO	EFO_0001187	P-MTAB-6653	P-MTAB-6651	HepG2_48h_AFB1_2	genomic_DNA	P-AFFY-2	HepG2_48h_AFB1_2	biotin	unknown	Affymetrix:Protocol:Hybridization-Unknown	HepG2_48h_AFB1_2	A-AFFY-44	P-AFFY-6	48	h	1	uM	AFB1	  	  	HepG2	EFO	EFO_0001187	071010CM2E.CEL	071010CM2E.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2458/E-MEXP-2458.raw.1.zip	P-MTAB-6652	HepG2-HepaRG-all-reannotated-RMA-intensities.txt.magetab	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2458/E-MEXP-2458.processed.1.zip
HepaRG_48h_TCDD_2	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	hepatoma cells	HepaRG	EFO	EFO_0001186	P-MTAB-6654	P-MTAB-6651	HepaRG_48h_TCDD_2	genomic_DNA	P-AFFY-2	HepaRG_48h_TCDD_2	biotin	unknown	Affymetrix:Protocol:Hybridization-Unknown	HepaRG_48h_TCDD_2	A-AFFY-44	P-AFFY-6	48	h	10	nM	TCDD	  	  	HepaRG	EFO	EFO_0001186	080424HK11.CEL	080424HK11.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2458/E-MEXP-2458.raw.1.zip	P-MTAB-6652	HepG2-HepaRG-all-reannotated-RMA-intensities.txt.magetab	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2458/E-MEXP-2458.processed.1.zip
HepG2_48h_AFB1_3	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	hepatoma cells	HepG2	EFO	EFO_0001187	P-MTAB-6653	P-MTAB-6651	HepG2_48h_AFB1_3	genomic_DNA	P-AFFY-2	HepG2_48h_AFB1_3	biotin	unknown	Affymetrix:Protocol:Hybridization-Unknown	HepG2_48h_AFB1_3	A-AFFY-44	P-AFFY-6	48	h	1	uM	AFB1	  	  	HepG2	EFO	EFO_0001187	071010CM2F.CEL	071010CM2F.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2458/E-MEXP-2458.raw.1.zip	P-MTAB-6652	HepG2-HepaRG-all-reannotated-RMA-intensities.txt.magetab	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2458/E-MEXP-2458.processed.1.zip
HepaRG_48h_CsA_2	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	hepatoma cells	HepaRG	EFO	EFO_0001186	P-MTAB-6654	P-MTAB-6651	HepaRG_48h_CsA_2	genomic_DNA	P-AFFY-2	HepaRG_48h_CsA_2	biotin	unknown	Affymetrix:Protocol:Hybridization-Unknown	HepaRG_48h_CsA_2	A-AFFY-44	P-AFFY-6	48	h	300	uM	CsA	  	  	HepaRG	EFO	EFO_0001186	080424HK9.CEL	080424HK9.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2458/E-MEXP-2458.raw.1.zip	P-MTAB-6652	HepG2-HepaRG-all-reannotated-RMA-intensities.txt.magetab	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2458/E-MEXP-2458.processed.1.zip
HepaRG_12h_E2_2	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	hepatoma cells	HepaRG	EFO	EFO_0001186	P-MTAB-6654	P-MTAB-6651	HepaRG_12h_E2_2	genomic_DNA	P-AFFY-2	HepaRG_12h_E2_2	biotin	unknown	Affymetrix:Protocol:Hybridization-Unknown	HepaRG_12h_E2_2	A-AFFY-44	P-AFFY-6	12	h	30	uM	E2	  	  	HepaRG	EFO	EFO_0001186	080424HK4.CEL	080424HK4.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2458/E-MEXP-2458.raw.1.zip	P-MTAB-6652	HepG2-HepaRG-all-reannotated-RMA-intensities.txt.magetab	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2458/E-MEXP-2458.processed.1.zip
